service_id,date,exception_type
LAB,20151207,2
FES,20151207,1
LAB,20151208,2
FES,20151208,1
LAB,20151225,2
FES,20151225,1
SAB,20151226,2
FES,20151226,1
LAB,20160101,2
FES,20160101,1
LAB,20160106,2
FES,20160106,1
LAB,20160120,2
FES,20160120,1
LAB,20160301,2
FES,20160301,1
LAB,20160324,2
FES,20160324,1
LAB,20160325,2
FES,20160325,1
LAB,20160328,2
FES,20160328,1
LAB,20160624,2
FES,20160624,1
LAB,20160815,2
FES,20160815,1
LAB,20161012,2
FES,20161012,1
LAB,20161101,2
FES,20161101,1
LAB,20161206,2
FES,20161206,1
LAB,20161208,2
FES,20161208,1
LAB,20161226,2
FES,20161226,1
