trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
L001I01S1FES,21:15:00,21:15:00,547,1,,0,0, 
L001I01S1FES,21:16:51,21:16:51,566,2,,0,0, 
L001I01S1FES,21:26:33,21:26:33,449,3,,0,0, 
L001I01S1FES, , ,450,4,,0,0, 
L001I01S1FES, , ,451,5,,0,0, 
L001I01S1FES, , ,452,6,,0,0, 
L001I01S1FES, , ,422,7,,0,0, 
L001I01S1FES,21:32:45,21:32:45,2,8,,0,0, 
L001I01S1FES, , ,492,9,,0,0, 
L001I01S1FES, , ,127,10,,0,0, 
L001I01S1FES, , ,19,11,,0,0, 
L001I01S1FES,21:39:52,21:39:52,20,12,,0,0, 
L001I01S1FES, , ,569,13,,0,0, 
L001I01S1FES, , ,8,14,,0,0, 
L001I01S1FES, , ,9,15,,0,0, 
L001I01S1FES, , ,10,16,,0,0, 
L001I01S1FES, , ,11,17,,0,0, 
L001I01S1FES, , ,12,18,,0,0, 
L001I01S1FES,21:47:48,21:47:48,14,19,,0,0, 
L001I01S1FES, , ,15,20,,0,0, 
L001I01S1FES,21:53:13,21:53:13,16,21,,0,0, 
L001I01S1FES, , ,17,22,,0,0, 
L001I01S1FES,21:55:00,22:00:00,18,23,,0,0, 
L001I01S2FES,21:00:00,21:00:00,18,1,,0,0, 
L001I01S2FES, , ,23,2,,0,0, 
L001I01S2FES, , ,25,3,,0,0, 
L001I01S2FES, , ,1127,4,,0,0, 
L001I01S2FES,21:05:36,21:05:36,26,5,,0,0, 
L001I01S2FES, , ,27,6,,0,0, 
L001I01S2FES, , ,28,7,,0,0, 
L001I01S2FES, , ,29,8,,0,0, 
L001I01S2FES, , ,30,9,,0,0, 
L001I01S2FES, , ,31,10,,0,0, 
L001I01S2FES,21:12:47,21:12:47,129,11,,0,0, 
L001I01S2FES,21:14:27,21:14:27,203,12,,0,0, 
L001I01S2FES, , ,205,13,,0,0, 
L001I01S2FES, , ,981,14,,0,0, 
