stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,1,1-Porta de Sant Antoni,PZ PORTA SANT ANTONI 1,39.571641,2.655563,,http://www.emtpalma.es/p/1,0, ,,0
2,2,2-Plaça d'Espanya,PZ ESPANYA (ESTACIÓ-MARQUES FONSANTA),39.575639,2.654472,,http://www.emtpalma.es/p/2,0, ,,0
3,3,3-Comte de Sallent  8,AV COMTE DE SALLENT 8,39.578079,2.650908,,http://www.emtpalma.es/p/3,0, ,,0
4,4,4-Biniamar  10,CL BINIAMAR 10,39.582193,2.680918,,http://www.emtpalma.es/p/4,0, ,,0
6,6,6-Porta de Sant Antoni,PZ PORTA SANT ANTONI 17,39.571327,2.656018,,http://www.emtpalma.es/p/6,0, ,,0
7,7,7-Plaça de la Reina,PZ REINA 7,39.568973,2.646192,,http://www.emtpalma.es/p/7,0, ,,0
8,8,8-Es Jonquet,AV GABRIEL ROCA,39.569254,2.637936,,http://www.emtpalma.es/p/8,0, ,,0
9,9,9-Passeig Marítim  2,AV GABRIEL ROCA 2,39.568863,2.633992,,http://www.emtpalma.es/p/9,0, ,,0
10,10,10-Auditòrium,AV GABRIEL ROCA 20,39.566405,2.628894,,http://www.emtpalma.es/p/10,0, ,,0
11,11,11-Passeig Marítim  33,AV GABRIEL ROCA 33,39.562813,2.627109,,http://www.emtpalma.es/p/11,0, ,,0
12,12,12-Can Barberà,AV GABRIEL ROCA 38,39.559379,2.626498,,http://www.emtpalma.es/p/12,0, ,,0
13,13,13-Aragó  271,CL ARAGO 271,39.592594,2.682105,,http://www.emtpalma.es/p/13,0, ,,1
14,14,14-Club de Mar,CL PORTOPÍ 8,39.554505,2.623941,,http://www.emtpalma.es/p/14,0, ,,0
15,15,15-Port de Palma (Estació Marítima),AV GABRIEL ROCA 47,39.552782,2.623566,,http://www.emtpalma.es/p/15,0, ,,0
16,16,16-Dic de l'Oest  2,LU DIC DE L'OEST,39.549649,2.618683,,http://www.emtpalma.es/p/16,0, ,,0
17,17,17-Museu de Sant Carles,LU DIC DE L'OEST,39.545328,2.619986,,http://www.emtpalma.es/p/17,0, ,,0
18,18,18-Escola de Nàutica,LU DIC DE L'OEST (FP),39.545367,2.623711,,http://www.emtpalma.es/p/18,0, ,,0
19,19,19-Passeig Mallorca  38,PS MALLORCA 38,39.574996,2.644334,,http://www.emtpalma.es/p/19,0, ,,1
20,20,20-Passeig Mallorca  18,PS MALLORCA 18,39.573007,2.642329,,http://www.emtpalma.es/p/20,0, ,,0
23,23,23-Museu de Sant Carles,LU DIC DE L'OEST,39.545538,2.620753,,http://www.emtpalma.es/p/23,0, ,,0
25,25,25-Dic de l'Oest  1,LU DIC DE L'OEST,39.549515,2.618928,,http://www.emtpalma.es/p/25,0, ,,0
26,26,26-Port de Palma (Estació Marítima),LU MOLL PERAIRES,39.553475,2.626030,,http://www.emtpalma.es/p/26,0, ,,0
27,27,27-Club de Mar,AV GABRIEL ROCA,39.554659,2.624312,,http://www.emtpalma.es/p/27,0, ,,0
28,28,28-Can Barberà,AV GABRIEL ROCA,39.559118,2.626721,,http://www.emtpalma.es/p/28,0, ,,0
29,29,29-Passeig Marítim  33,AV GABRIEL ROCA 33,39.562843,2.627737,,http://www.emtpalma.es/p/29,0, ,,0
30,30,30-Auditòrium,AV GABRIEL ROCA 15,39.567356,2.630251,,http://www.emtpalma.es/p/30,0, ,,0
31,31,31-Passeig Marítim  7,AV GABRIEL ROCA 7,39.568416,2.632213,,http://www.emtpalma.es/p/31,0, ,,0
32,32,32-Indalecio Prieto  48,CL INDALECIO PRIETO 43,39.580480,2.677212,,http://www.emtpalma.es/p/32,0, ,,0
34,34,34-Son Bonet,AV ANTONI MAURA 91,39.599923,2.696713,,http://www.emtpalma.es/p/34,0, ,,0
35,35,35-Antoni Maura  67,AV ANTONI MAURA 67,39.598763,2.694330,,http://www.emtpalma.es/p/35,0, ,,0
36,36,36-Antoni Maura  29,AV ANTONI MAURA 29,39.596917,2.691345,,http://www.emtpalma.es/p/36,0, ,,0
37,37,37-Verge de Lluc,CL ARAGO,39.595348,2.687438,,http://www.emtpalma.es/p/37,0, ,,0
38,38,38-Son Rutlan,CL ARAGO,39.593907,2.684405,,http://www.emtpalma.es/p/38,0, ,,0
39,39,39-Aragó  257,CL ARAGO 257,39.590811,2.679120,,http://www.emtpalma.es/p/39,0, ,,1
40,40,40-Aragó  224,CL ARAGO 224,39.589373,2.677089,,http://www.emtpalma.es/p/40,0, ,,1
41,41,41-Aragó  209 (Son Fuster),CL ARAGO 209,39.587447,2.674664,,http://www.emtpalma.es/p/41,0, ,,1
42,42,42-Aragó  185,CL ARAGO 185,39.585495,2.672577,,http://www.emtpalma.es/p/42,0, ,,0
43,43,43-Can Capes,CL ARAGO 155,39.582663,2.668550,,http://www.emtpalma.es/p/43,0, ,,0
44,44,44-Aragó  135,CL ARAGO 135,39.581297,2.666647,,http://www.emtpalma.es/p/44,0, ,,0
45,45,45-Els Hostalets,CL ARAGO 85,39.579360,2.663815,,http://www.emtpalma.es/p/45,0, ,,0
