route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
L001,LAB,L001I01S1LAB,PORT,0,,L001I01S1
L001,LAB,L001I02S1LAB,PORT,0,,L001I02S1
L001,LAB,L001I03S1LAB,PORT,0,,L001I03S1
L001,LAB,L001I01S2LAB,AEROPORT,1,,L001I01S2
L001,LAB,L001I02S2LAB,AEROPORT,1,,L001I02S2
L001,LAB,L001I03S2LAB,AEROPORT,1,,L001I03S2
L001,SAB,L001I01S1SAB,PORT,0,,L001I01S1
L001,SAB,L001I03S1SAB,PORT,0,,L001I03S1
L001,SAB,L001I01S2SAB,AEROPORT,1,,L001I01S2
L001,SAB,L001I03S2SAB,AEROPORT,1,,L001I03S2
L001,FES,L001I01S1FES,PORT,0,,L001I01S1
L001,FES,L001I01S2FES,AEROPORT,1,,L001I01S2
L001,FES,L001I01S1F04,AEROPORT,1,,L001I01S2
L001,LAB,L001I01S1L04,PORT,0,,
L001,SAB,L001I01S1S04,PORT,0,,
L002,LAB,L002I01S1LAB,CIRCULAR,0,,L002I01S1
L002,SAB,L002I01S1SAB,CIRCULAR,0,,L002I01S1
L002,LAB,L002I01S1L01,CIRCULAR,0,,
L003,LAB,L003I01S1LAB,ILLETES,0,,L003I01S1
L003,LAB,L003I01S2LAB,PONT D'INCA,1,,L003I01S2
L003,SAB,L003I01S1SAB,ILLETES,0,,L003I01S1
L003,SAB,L003I01S2SAB,PONT D'INCA,1,,L003I01S2
L003,FES,L003I01S1FES,ILLETES,0,,L003I01S1
L003,FES,L003I01S2FES,PONT D'INCA,1,,L003I01S2
L003,FES,L003I01S1F01,ILLETES,0,,
L003,FES,L003I01S1F02,ILLETES,0,,
L003,LAB,L003I01S1L01,ILLETES,0,,
L003,LAB,L003I01S1L03,ILLETES,0,,
L003,LAB,L003I01S1L05,ILLETES,0,,
L003,LAB,L003I01S1L11,ILLETES,0,,
L003,SAB,L003I01S1S09,ILLETES,0,,
L003,SAB,L003I01S1S12,ILLETES,0,,
L005,LAB,L005I01S1LAB,SON DURETA,0,,L005I01S1
L005,LAB,L005I01S2LAB,ES RAFAL NOU,1,,L005I01S2
L005,SAB,L005I01S1SAB,SON DURETA,0,,L005I01S1
L005,SAB,L005I01S2SAB,ES RAFAL NOU,1,,L005I01S2
